Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
True Grit,"$171,243,005","$81,033,922","$252,276,927",Paramount Pictures,"$24,830,443","$38,000,000","Dec 22, 2010",PG-13,1 hr 50 min,"Drama
    
        Western"
The A-Team,"$77,222,099","$100,016,697","$177,238,796",Twentieth Century Fox,"$25,669,455","$110,000,000","Jun 11, 2010",PG-13,1 hr 57 min,"Action
    
        Adventure
    
        Thriller"
Unstoppable,"$81,562,942","$86,242,524","$167,805,466",Twentieth Century Fox,"$22,688,457","$100,000,000","Nov 12, 2010",PG-13,1 hr 38 min,"Action
    
        Thriller"
The Town,"$92,186,262","$61,839,874","$154,026,136",Warner Bros.,"$23,808,032","$37,000,000","Sep 17, 2010",R,2 hr 5 min,"Crime
    
        Drama
    
        Thriller"
Prince of Persia: The Sands of Time,"$90,759,676","$245,606,000","$336,365,676",Walt Disney Studios Motion Pictures,"$30,095,259","$200,000,000","May 28, 2010",PG-13,1 hr 56 min,"Action
    
        Adventure
    
        Fantasy"
Sex and the City 2,"$95,347,692","$195,397,363","$290,745,055",Warner Bros.,"$31,001,870","$100,000,000","May 27, 2010",R,2 hr 26 min,"Comedy
    
        Drama
    
        Romance"
The Book of Eli,"$94,835,059","$62,272,696","$157,107,755",Warner Bros.,"$32,789,494","$80,000,000","Jan 15, 2010",R,1 hr 58 min,"Action
    
        Adventure
    
        Drama
    
        Thriller"
RED,"$90,380,162","$108,626,225","$199,006,387",Summit Entertainment,"$21,761,408","$58,000,000","Oct 15, 2010",PG-13,1 hr 51 min,"Action
    
        Comedy
    
        Crime
    
        Thriller"
The Social Network,"$96,962,694","$127,957,621","$224,920,315",Sony Pictures Entertainment (SPE),"$22,445,653","$40,000,000","Oct 1, 2010",PG-13,2 hr,"Biography
    
        Drama"
The Expendables,"$103,068,524","$171,401,870","$274,470,394",Lionsgate,"$34,825,135","$80,000,000","Aug 13, 2010",R,1 hr 43 min,"Action
    
        Adventure
    
        Thriller"
Robin Hood,"$105,269,730","$216,400,011","$321,669,741",Universal Pictures,"$36,063,385","$200,000,000","May 14, 2010",PG-13,2 hr 20 min,"Action
    
        Adventure
    
        Drama
    
        History"
Sherlock Holmes,"$209,028,679","$315,000,000","$524,028,679",Warner Bros.,"$62,304,277","$90,000,000","Dec 25, 2009",PG-13,2 hr 8 min,"Action
    
        Adventure
    
        Mystery"
Date Night,"$98,711,404","$53,552,476","$152,263,880",Twentieth Century Fox,"$25,207,599","$55,000,000","Apr 9, 2010",PG-13,1 hr 28 min,"Comedy
    
        Crime
    
        Romance
    
        Thriller"
